                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93826,                0.96282,                0.92926,                0.82199,                0.79362,                0.86756,                0.68547,                0.71042,                0.50994,                0.85243,              0.0033255,              0.0033255,              0.0033255
                      2,                0.87801,                 0.5953,                0.89375,                0.86317,                0.81712,                0.89146,                0.70657,                0.72033,                0.46732,                0.85189,              0.0065929,              0.0065929,              0.0065929
                      3,                0.88104,                0.58987,                0.89767,                0.83233,                0.77771,                0.84758,                0.65848,                0.73353,                0.54498,                0.86251,              0.0097943,              0.0097943,              0.0097943
                      4,                0.84917,                0.56943,                0.89483,                0.72996,                 0.7313,                0.75851,                0.56442,                0.78329,                0.72528,                0.87953,               0.009703,               0.009703,               0.009703
                      5,                0.81464,                0.54077,                0.88857,                 0.8766,                0.81439,                0.89752,                0.71735,                0.70868,                0.48567,                0.86034,               0.009703,               0.009703,               0.009703
                      6,                0.78518,                0.51159,                 0.8806,                0.87273,                0.83308,                 0.9065,                0.73314,                0.67437,                0.44361,                0.84803,               0.009604,               0.009604,               0.009604
                      7,                0.76556,                 0.4961,                0.87662,                0.87903,                 0.8433,                 0.9151,                0.73851,                0.68309,                0.44352,                0.85182,               0.009505,               0.009505,               0.009505
                      8,                0.75525,                0.48529,                0.87319,                0.88215,                 0.8434,                0.91765,                0.74676,                0.66436,                0.43439,                0.84459,               0.009406,               0.009406,               0.009406
                      9,                0.74481,                0.47654,                0.87085,                0.89164,                0.85669,                0.92426,                0.75611,                0.65726,                0.39994,                0.84007,               0.009307,               0.009307,               0.009307
                     10,                0.73685,                0.47016,                0.86886,                 0.8941,                0.85874,                0.92749,                0.76287,                0.64468,                0.39588,                0.83925,               0.009208,               0.009208,               0.009208
                     11,                0.73054,                0.46426,                0.86761,                0.90317,                0.86042,                0.93055,                0.76821,                0.64157,                0.38541,                0.83842,               0.009109,               0.009109,               0.009109
                     12,                0.72332,                0.45864,                0.86628,                0.90093,                0.86727,                0.93389,                0.77735,                0.63128,                0.37376,                0.83491,                0.00901,                0.00901,                0.00901
                     13,                0.71844,                0.45295,                0.86474,                0.89413,                0.86488,                 0.9308,                0.77316,                 0.6298,                0.37896,                 0.8355,               0.008911,               0.008911,               0.008911
