                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91247,                 1.0693,                0.94918,                0.80565,                0.77826,                0.83835,                0.66486,                0.72208,                0.57368,                0.87924,              0.0033208,              0.0033208,              0.0033208
                      2,                0.86081,                0.60203,                0.91434,                0.84416,                0.82441,                0.88291,                0.71091,                0.72377,                0.52945,                0.88122,              0.0065883,              0.0065883,              0.0065883
                      3,                0.86262,                0.59043,                0.91481,                0.84943,                0.81816,                0.87652,                0.70566,                0.73779,                0.55033,                0.88419,              0.0097897,              0.0097897,              0.0097897
                      4,                0.82516,                0.55332,                0.90433,                0.87124,                 0.8258,                0.89148,                0.72379,                 0.7101,                0.50857,                0.88288,               0.009703,               0.009703,               0.009703
                      5,                0.79486,                0.52677,                0.90039,                0.85139,                 0.8187,                0.87789,                0.70023,                0.73469,                0.54577,                0.88932,               0.009703,               0.009703,               0.009703
                      6,                0.76875,                0.50656,                0.89372,                0.87942,                0.85479,                0.90836,                0.74505,                0.67878,                0.46705,                0.87055,               0.009604,               0.009604,               0.009604
                      7,                 0.7579,                0.49876,                0.89197,                 0.8678,                0.84555,                0.90728,                0.74382,                0.67913,                0.49769,                0.87203,               0.009505,               0.009505,               0.009505
                      8,                0.73798,                0.48038,                0.88554,                0.86421,                 0.8495,                0.90669,                0.74251,                0.68036,                0.48581,                0.87642,               0.009406,               0.009406,               0.009406
                      9,                0.73232,                0.47593,                0.88267,                0.87898,                0.85529,                 0.9115,                0.76033,                0.66341,                 0.4585,                0.87196,               0.009307,               0.009307,               0.009307
                     10,                0.73068,                0.47293,                0.88478,                0.87605,                0.86977,                0.91524,                0.76351,                0.65562,                0.44181,                0.86809,               0.009208,               0.009208,               0.009208
                     11,                0.71965,                0.46669,                0.88296,                0.88563,                0.86881,                0.92249,                0.77118,                0.65237,                0.42659,                0.86361,               0.009109,               0.009109,               0.009109
                     12,                0.71528,                0.46031,                0.88202,                0.88558,                0.88012,                 0.9232,                0.77487,                0.64039,                0.42257,                0.86018,                0.00901,                0.00901,                0.00901
                     13,                0.70962,                0.45798,                0.88023,                0.88348,                0.88074,                0.92837,                0.77987,                0.64303,                0.41531,                 0.8623,               0.008911,               0.008911,               0.008911
                     14,                0.70194,                0.45433,                0.87982,                0.88057,                0.88742,                 0.9272,                0.78315,                0.63038,                0.41241,                 0.8595,               0.008812,               0.008812,               0.008812
                     15,                0.70171,                0.44693,                0.87862,                0.88694,                0.87381,                0.92501,                0.78014,                0.63379,                0.41356,                0.86024,               0.008713,               0.008713,               0.008713
                     16,                 0.6935,                 0.4439,                0.87768,                0.89528,                  0.871,                0.92768,                0.78129,                0.63662,                0.40975,                0.86115,               0.008614,               0.008614,               0.008614
                     17,                 0.6842,                0.43006,                0.87386,                0.87887,                0.87937,                 0.9255,                0.78027,                 0.6382,                0.41414,                0.85969,               0.008515,               0.008515,               0.008515
                     18,                0.68701,                 0.4377,                0.87318,                0.88893,                0.87988,                0.92787,                0.78344,                0.63006,                0.40549,                0.85887,               0.008416,               0.008416,               0.008416
                     19,                0.69006,                0.44189,                0.87498,                0.88462,                0.88101,                0.92788,                0.78445,                0.62565,                0.40884,                0.85871,               0.008317,               0.008317,               0.008317
                     20,                0.68061,                0.42905,                0.87264,                0.89544,                0.88746,                0.93037,                0.79051,                0.62573,                0.40179,                 0.8585,               0.008218,               0.008218,               0.008218
                     21,                0.68238,                0.43272,                 0.8742,                0.88139,                0.88692,                0.92904,                0.78793,                0.62681,                0.40117,                0.85784,               0.008119,               0.008119,               0.008119
                     22,                0.67502,                0.42193,                0.86965,                0.89202,                0.88637,                0.93235,                0.79278,                0.62185,                0.39977,                0.85653,                0.00802,                0.00802,                0.00802
                     23,                0.67223,                0.42087,                0.86902,                0.89356,                0.88243,                0.93053,                0.79099,                0.61892,                0.39638,                0.85386,               0.007921,               0.007921,               0.007921
                     24,                0.67178,                0.42218,                0.87091,                0.89616,                 0.8867,                0.93044,                 0.7939,                0.62006,                0.39541,                 0.8547,               0.007822,               0.007822,               0.007822
                     25,                0.67293,                0.42933,                0.87019,                0.89167,                0.87907,                0.92931,                0.79204,                0.61631,                 0.3932,                0.85508,               0.007723,               0.007723,               0.007723
                     26,                0.66832,                0.42407,                0.86786,                0.89337,                0.88127,                0.93019,                0.79225,                0.61774,                0.39126,                0.85295,               0.007624,               0.007624,               0.007624
                     27,                0.66403,                 0.4173,                0.86609,                 0.8933,                0.88763,                0.93039,                0.79509,                0.61441,                0.39004,                0.85402,               0.007525,               0.007525,               0.007525
                     28,                0.65955,                0.41803,                0.86711,                0.88885,                0.88818,                0.93031,                0.79408,                0.61602,                0.39143,                0.85364,               0.007426,               0.007426,               0.007426
                     29,                0.65883,                0.41578,                0.86538,                0.89552,                0.88896,                0.93275,                0.79804,                 0.6149,                0.38829,                0.85238,               0.007327,               0.007327,               0.007327
                     30,                0.65854,                0.41359,                0.86448,                0.89178,                 0.8866,                 0.9315,                0.79606,                0.61388,                0.39149,                0.85344,               0.007228,               0.007228,               0.007228
                     31,                0.65794,                0.41131,                0.86549,                0.89695,                 0.8867,                0.93262,                0.79847,                0.61072,                0.38794,                0.85243,               0.007129,               0.007129,               0.007129
                     32,                0.65541,                0.40963,                0.86601,                0.89777,                0.88589,                0.93321,                0.79863,                0.61212,                0.38649,                0.85381,                0.00703,                0.00703,                0.00703
                     33,                0.65235,                0.40487,                0.86448,                0.89022,                0.88417,                0.93265,                0.79781,                0.61137,                0.38791,                0.85296,               0.006931,               0.006931,               0.006931
                     34,                0.65081,                0.40404,                0.86154,                0.89514,                0.88626,                0.93367,                0.79953,                0.61008,                0.38408,                 0.8509,               0.006832,               0.006832,               0.006832
                     35,                0.64969,                  0.405,                0.86204,                0.90075,                0.88214,                0.93396,                 0.7993,                0.61094,                0.38497,                0.85069,               0.006733,               0.006733,               0.006733
                     36,                0.64668,                0.40135,                0.86143,                0.90025,                0.88471,                0.93382,                0.80121,                0.60877,                0.38501,                0.85064,               0.006634,               0.006634,               0.006634
                     37,                 0.6509,                0.40343,                0.86287,                0.89745,                0.88284,                0.93206,                0.79988,                0.60906,                0.38688,                0.84985,               0.006535,               0.006535,               0.006535
                     38,                0.64596,                0.40483,                  0.864,                0.89655,                0.88615,                0.93366,                0.80154,                0.60773,                0.38333,                0.85205,               0.006436,               0.006436,               0.006436
                     39,                0.64297,                0.39784,                0.85997,                0.90082,                0.88716,                 0.9343,                 0.8018,                 0.6092,                0.38256,                0.85192,               0.006337,               0.006337,               0.006337
                     40,                0.64076,                0.39446,                0.85958,                0.89996,                0.88494,                0.93448,                0.80189,                0.60827,                0.38291,                0.85211,               0.006238,               0.006238,               0.006238
                     41,                0.64152,                0.39682,                 0.8605,                0.89169,                 0.8882,                0.93331,                0.80056,                0.60768,                0.38509,                0.85121,               0.006139,               0.006139,               0.006139
                     42,                0.63946,                0.39569,                0.86077,                0.89851,                 0.8848,                0.93288,                0.80096,                0.60767,                0.38355,                0.85183,                0.00604,                0.00604,                0.00604
