                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84333,                0.78269,                0.93723,                0.84124,                0.82729,                0.87935,                0.71438,                0.71894,                0.52463,                 0.8866,               0.003329,               0.003329,               0.003329
                      2,                0.80783,                0.54994,                0.91417,                0.84825,                0.82093,                 0.8872,                0.71801,                0.71592,                0.53732,                0.88994,              0.0065963,              0.0065963,              0.0065963
                      3,                0.81868,                0.55576,                 0.9162,                0.84351,                0.80024,                0.87425,                0.69904,                0.73941,                0.59479,                0.90185,              0.0097977,              0.0097977,              0.0097977
                      4,                0.80612,                0.54922,                0.91463,                0.86684,                0.83997,                0.90378,                0.73612,                0.70539,                0.51714,                0.89383,               0.009703,               0.009703,               0.009703
                      5,                0.77451,                0.51878,                0.90713,                0.86736,                0.83128,                0.89652,                0.72674,                0.70479,                0.53112,                0.89288,               0.009703,               0.009703,               0.009703
                      6,                0.75882,                0.50406,                 0.9049,                0.86611,                0.84328,                0.90484,                0.74539,                0.68971,                0.48879,                0.88581,               0.009604,               0.009604,               0.009604
                      7,                0.73324,                0.48286,                0.89477,                0.89005,                0.87138,                0.92403,                0.76975,                 0.6628,                0.44995,                0.87388,               0.009505,               0.009505,               0.009505
                      8,                0.72245,                0.47122,                0.89305,                0.87766,                0.83796,                0.90439,                0.74915,                0.68738,                0.52617,                0.88673,               0.009406,               0.009406,               0.009406
                      9,                0.71527,                0.46654,                0.88824,                0.88457,                0.87308,                0.92328,                0.77249,                0.65274,                0.44086,                0.87283,               0.009307,               0.009307,               0.009307
                     10,                0.70429,                 0.4547,                0.88732,                0.89571,                0.88604,                0.92898,                0.78049,                  0.642,                 0.4321,                0.86728,               0.009208,               0.009208,               0.009208
                     11,                0.70425,                0.45735,                0.88798,                0.89006,                0.88632,                 0.9307,                0.78268,                 0.6341,                0.43063,                0.86701,               0.009109,               0.009109,               0.009109
                     12,                0.69217,                0.44269,                0.88242,                0.90213,                0.88254,                0.93275,                0.78931,                0.63115,                0.41837,                0.86575,                0.00901,                0.00901,                0.00901
                     13,                0.69257,                0.44587,                0.88525,                0.89657,                0.88873,                0.93237,                0.79401,                0.62716,                 0.4167,                0.86727,               0.008911,               0.008911,               0.008911
                     14,                0.68451,                0.44294,                0.88338,                0.89762,                0.89148,                0.93497,                0.79478,                  0.626,                 0.4116,                0.86525,               0.008812,               0.008812,               0.008812
                     15,                0.67588,                0.42981,                0.88059,                 0.8978,                0.89237,                0.93432,                0.79538,                0.62124,                0.41162,                0.86592,               0.008713,               0.008713,               0.008713
                     16,                0.67655,                0.43136,                0.88096,                0.90406,                0.88898,                0.93602,                0.79778,                 0.6214,                0.40841,                 0.8636,               0.008614,               0.008614,               0.008614
                     17,                0.66509,                0.41694,                0.87746,                0.89619,                0.89037,                0.93541,                0.79927,                0.61803,                0.40869,                0.86275,               0.008515,               0.008515,               0.008515
                     18,                0.66465,                0.42183,                0.87688,                0.89428,                0.89755,                0.93695,                0.79786,                0.61864,                0.40552,                0.86356,               0.008416,               0.008416,               0.008416
                     19,                0.67301,                0.42954,                0.88229,                0.90081,                0.89294,                0.93733,                0.80317,                0.61106,                0.40054,                0.86155,               0.008317,               0.008317,               0.008317
