                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99533,                 1.2299,                0.94758,                0.81891,                0.76058,                 0.8339,                0.65007,                0.76867,                0.55669,                0.86363,              0.0033158,              0.0033158,              0.0033158
                      2,                0.93553,                0.67323,                0.91018,                0.82683,                0.79705,                0.85946,                0.65675,                 0.7789,                0.58929,                0.86107,              0.0065833,              0.0065833,              0.0065833
                      3,                0.95169,                 0.6586,                0.91269,                0.78695,                0.69622,                0.79574,                0.59978,                0.82673,                 0.7416,                0.88349,              0.0097848,              0.0097848,              0.0097848
                      4,                0.93229,                0.63421,                0.91043,                0.77693,                0.71407,                0.79853,                0.61131,                0.80273,                0.63411,                0.88054,               0.009703,               0.009703,               0.009703
                      5,                0.88328,                0.59356,                0.90025,                0.83914,                0.78852,                0.87089,                0.68491,                0.74059,                0.53101,                0.86807,               0.009703,               0.009703,               0.009703
                      6,                0.85427,                0.56424,                0.89406,                0.66682,                0.63267,                0.71452,                0.53981,                0.84791,                 1.0074,                0.91051,               0.009604,               0.009604,               0.009604
                      7,                0.83002,                0.53918,                0.88885,                0.86858,                 0.7909,                0.88292,                0.70673,                0.72089,                 0.4745,                0.85985,               0.009505,               0.009505,               0.009505
                      8,                0.81842,                 0.5313,                0.88685,                0.87263,                0.83135,                0.90239,                0.72082,                0.71334,                0.48323,                0.86046,               0.009406,               0.009406,               0.009406
                      9,                0.80649,                0.52411,                 0.8815,                 0.8731,                0.83168,                0.90605,                0.73134,                0.68613,                0.46206,                0.84937,               0.009307,               0.009307,               0.009307
                     10,                0.79291,                0.51391,                0.87898,                0.88139,                0.83618,                0.91266,                0.73647,                0.69035,                0.44893,                0.85061,               0.009208,               0.009208,               0.009208
                     11,                0.78997,                0.51335,                0.88113,                0.88389,                0.83792,                 0.9173,                0.74552,                0.68211,                0.43101,                0.84555,               0.009109,               0.009109,               0.009109
