                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90281,                  1.065,                0.94358,                0.83891,                0.80017,                0.85915,                0.68212,                0.76024,                0.55159,                0.88634,              0.0033206,              0.0033206,              0.0033206
                      2,                0.84877,                0.59555,                0.91065,                0.82596,                0.81451,                0.87755,                0.70193,                0.71599,                0.57376,                0.87411,              0.0066374,              0.0066374,              0.0066374
                      3,                0.86771,                 0.5881,                0.91735,                0.81519,                0.79608,                0.84667,                0.67293,                 0.7552,                0.62512,                0.89735,              0.0099378,              0.0099378,              0.0099378
                      4,                0.83913,                0.56985,                0.91421,                0.87288,                0.83366,                0.89777,                0.72635,                0.71336,                0.48597,                0.88533,              0.0099258,              0.0099258,              0.0099258
                      5,                0.79398,                0.52783,                0.90099,                0.87069,                0.82473,                0.89852,                0.73122,                0.70344,                0.48231,                0.87613,              0.0099258,              0.0099258,              0.0099258
                      6,                0.76497,                0.50582,                 0.8937,                0.86942,                0.85838,                 0.9083,                0.74866,                0.68527,                0.47609,                0.87645,               0.009901,               0.009901,               0.009901
                      7,                0.75206,                0.49523,                0.89194,                0.87348,                0.86536,                0.91264,                0.75187,                0.66952,                0.46659,                0.87193,              0.0098763,              0.0098763,              0.0098763
                      8,                0.74654,                0.48934,                0.88897,                0.87698,                0.84818,                0.91111,                0.75286,                0.67001,                0.47368,                0.87134,              0.0098515,              0.0098515,              0.0098515
                      9,                0.74346,                0.48735,                0.88829,                0.88534,                0.85799,                0.91773,                 0.7642,                0.65749,                0.44132,                0.86592,              0.0098268,              0.0098268,              0.0098268
                     10,                0.72637,                0.47102,                0.88523,                0.87126,                0.86819,                0.91216,                0.76017,                0.66853,                0.45394,                0.87193,               0.009802,               0.009802,               0.009802
                     11,                0.72685,                0.47392,                0.88603,                0.88708,                0.87729,                0.92367,                0.77302,                0.64835,                0.42593,                0.86741,              0.0097773,              0.0097773,              0.0097773
                     12,                 0.7147,                0.46119,                0.88359,                0.88402,                 0.8671,                0.91848,                0.76896,                0.64994,                0.42814,                0.86433,              0.0097525,              0.0097525,              0.0097525
                     13,                0.71337,                0.46146,                 0.8825,                0.88446,                0.87155,                 0.9235,                0.77514,                0.64031,                0.43741,                0.86275,              0.0097278,              0.0097278,              0.0097278
                     14,                 0.7023,                0.44817,                0.87628,                 0.8869,                0.87892,                 0.9242,                0.77754,                0.64069,                0.42243,                0.86284,               0.009703,               0.009703,               0.009703
                     15,                0.69643,                0.44486,                0.87727,                0.88512,                 0.8794,                0.92447,                0.77676,                0.63659,                0.42121,                0.86056,              0.0096783,              0.0096783,              0.0096783
                     16,                0.69604,                 0.4484,                 0.8768,                0.89148,                0.87784,                0.92783,                0.78367,                0.63312,                0.40893,                0.85763,              0.0096535,              0.0096535,              0.0096535
                     17,                0.69734,                0.44555,                0.87853,                0.89177,                0.87395,                0.92689,                 0.7788,                0.63935,                0.41528,                0.86502,              0.0096288,              0.0096288,              0.0096288
                     18,                0.69314,                0.44122,                0.87599,                0.89122,                0.88204,                0.93112,                0.78452,                0.63257,                0.41125,                0.85964,               0.009604,               0.009604,               0.009604
                     19,                0.69159,                0.44068,                0.87556,                0.88663,                0.88648,                0.93095,                0.78789,                0.62954,                0.40429,                0.85834,              0.0095793,              0.0095793,              0.0095793
                     20,                0.68839,                0.44004,                0.87327,                0.89345,                 0.8859,                0.92742,                0.78717,                0.62646,                0.40181,                0.85859,              0.0095545,              0.0095545,              0.0095545
                     21,                0.68012,                0.42811,                0.87261,                0.89557,                0.87847,                0.93212,                0.78786,                0.62667,                0.40085,                0.85908,              0.0095298,              0.0095298,              0.0095298
                     22,                0.68362,                0.43349,                0.87218,                0.88719,                0.87826,                0.92637,                0.78479,                0.62896,                 0.4104,                0.86093,               0.009505,               0.009505,               0.009505
                     23,                0.68389,                0.43369,                0.87313,                0.88546,                0.87927,                0.92909,                0.78774,                0.62316,                0.40541,                0.85674,              0.0094803,              0.0094803,              0.0094803
                     24,                0.67514,                 0.4285,                0.87003,                0.88928,                0.88919,                0.93082,                0.79204,                0.62046,                0.39617,                0.85597,              0.0094555,              0.0094555,              0.0094555
                     25,                0.67449,                0.42771,                0.87137,                0.89291,                  0.887,                0.93205,                0.79224,                0.62175,                0.39636,                0.85565,              0.0094307,              0.0094307,              0.0094307
                     26,                0.67684,                0.42954,                0.87179,                0.89268,                0.88726,                0.93237,                0.79509,                0.61633,                0.39314,                0.85507,               0.009406,               0.009406,               0.009406
                     27,                 0.6715,                0.42402,                0.86949,                0.89148,                0.88645,                0.93184,                0.79306,                0.61696,                0.39684,                0.85282,              0.0093813,              0.0093813,              0.0093813
                     28,                0.67198,                0.42365,                0.86929,                0.89711,                0.88823,                0.93317,                  0.795,                0.61762,                0.39114,                0.85428,              0.0093565,              0.0093565,              0.0093565
                     29,                0.67173,                0.42379,                0.86952,                0.89661,                0.89103,                0.93403,                0.79764,                0.61232,                0.38875,                 0.8527,              0.0093317,              0.0093317,              0.0093317
                     30,                0.66878,                0.42343,                 0.8682,                0.89727,                0.88445,                0.93366,                0.79721,                0.61201,                0.38852,                0.85193,               0.009307,               0.009307,               0.009307
                     31,                0.66807,                 0.4203,                0.86841,                0.89631,                0.88432,                0.93332,                 0.7979,                0.61244,                0.38961,                0.85448,              0.0092823,              0.0092823,              0.0092823
                     32,                0.66909,                0.42007,                0.86892,                 0.8955,                0.88442,                0.93282,                0.79732,                 0.6126,                0.38917,                0.85385,              0.0092575,              0.0092575,              0.0092575
                     33,                0.66333,                0.41764,                0.86599,                 0.8918,                0.88625,                0.93129,                0.79509,                0.61625,                0.39033,                0.85279,              0.0092327,              0.0092327,              0.0092327
                     34,                0.66639,                   0.42,                0.86682,                0.88797,                0.88886,                0.93104,                0.79502,                0.61436,                0.39131,                0.85287,               0.009208,               0.009208,               0.009208
                     35,                0.66431,                0.41805,                0.86624,                0.89201,                0.88519,                0.93295,                0.79787,                0.61103,                 0.3869,                0.85184,              0.0091833,              0.0091833,              0.0091833
                     36,                0.66391,                0.41862,                0.86963,                0.89638,                0.88054,                0.93369,                0.79849,                0.61101,                0.38544,                0.85337,              0.0091585,              0.0091585,              0.0091585
                     37,                0.66337,                0.41795,                0.86548,                0.88917,                0.88589,                0.93166,                0.79629,                0.61081,                0.38699,                0.85221,              0.0091337,              0.0091337,              0.0091337
                     38,                0.65744,                0.41019,                0.86642,                0.89445,                0.88632,                0.93315,                0.79976,                0.60885,                0.38547,                0.85423,               0.009109,               0.009109,               0.009109
                     39,                0.65589,                0.40701,                0.86486,                0.88678,                0.89028,                0.93298,                0.79913,                0.60991,                0.38624,                0.85329,              0.0090843,              0.0090843,              0.0090843
                     40,                0.65706,                0.40799,                0.86606,                0.89265,                 0.8868,                0.93292,                 0.7997,                0.60816,                0.38458,                0.85292,              0.0090595,              0.0090595,              0.0090595
                     41,                0.65832,                0.41083,                0.86611,                0.89294,                 0.8902,                0.93315,                0.79965,                0.60983,                0.38531,                0.85321,              0.0090347,              0.0090347,              0.0090347
                     42,                0.64938,                0.40413,                0.86388,                0.89079,                 0.8935,                0.93293,                0.79983,                0.61011,                0.38641,                0.85332,                0.00901,                0.00901,                0.00901
                     43,                0.65571,                0.41255,                0.86641,                0.88802,                0.89197,                0.93399,                0.80055,                0.60966,                0.38493,                0.85337,              0.0089853,              0.0089853,              0.0089853
                     44,                0.65291,                0.40548,                0.86386,                0.88834,                0.89598,                0.93356,                0.80051,                0.60934,                 0.3846,                0.85321,              0.0089605,              0.0089605,              0.0089605
                     45,                0.65462,                0.41264,                0.86732,                0.89528,                0.88415,                0.93308,                 0.8009,                0.60839,                 0.3842,                0.85298,              0.0089358,              0.0089358,              0.0089358
                     46,                 0.6543,                0.40858,                  0.866,                0.89284,                0.88577,                0.93197,                0.80014,                 0.6079,                0.38509,                0.85286,               0.008911,               0.008911,               0.008911
