                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1417,                 1.5334,                 0.9448,                0.71245,                0.62483,                0.69463,                0.51267,                0.84088,                0.81704,                0.85521,             0.00023673,             0.00023673,             0.00023673
                      2,                0.96166,                0.80162,                0.89308,                0.77856,                0.69728,                0.78035,                 0.5855,                0.81732,                0.68433,                0.85295,             0.00045593,             0.00045593,             0.00045593
                      3,                0.92925,                0.71637,                0.88917,                0.82207,                 0.7258,                0.81983,                0.62459,                0.78013,                 0.5988,                0.84678,             0.00065629,             0.00065629,             0.00065629
                      4,                 0.9003,                0.65573,                0.88534,                0.82605,                0.75218,                0.84375,                0.64634,                0.77126,                0.54794,                0.84585,             0.00062918,             0.00062918,             0.00062918
                      5,                0.87996,                0.62356,                0.87869,                0.83782,                0.76593,                 0.8463,                0.65956,                 0.7528,                0.53429,                0.84429,             0.00062918,             0.00062918,             0.00062918
                      6,                0.85615,                0.59494,                0.87523,                 0.8386,                0.77213,                0.85346,                0.66597,                0.73686,                0.52139,                0.84213,              0.0006009,              0.0006009,              0.0006009
                      7,                0.84263,                0.57707,                0.87203,                0.84046,                0.78615,                 0.8643,                0.67827,                0.73281,                 0.5039,                0.83983,             0.00057263,             0.00057263,             0.00057263
                      8,                0.83309,                0.56682,                0.87022,                0.84327,                 0.7849,                0.85585,                0.66973,                0.73136,                0.51682,                0.84325,             0.00054435,             0.00054435,             0.00054435
                      9,                0.82836,                0.56173,                0.87068,                0.86087,                0.80038,                0.87626,                0.69285,                0.70949,                0.49651,                0.83709,             0.00051608,             0.00051608,             0.00051608
                     10,                0.81806,                  0.548,                0.86602,                 0.8347,                0.78509,                0.86264,                0.68064,                0.71405,                0.48934,                0.83516,              0.0004878,              0.0004878,              0.0004878
                     11,                0.80969,                0.53861,                0.86459,                0.86178,                0.80089,                  0.879,                0.69212,                0.70897,                0.48485,                0.83754,             0.00045953,             0.00045953,             0.00045953
                     12,                0.79967,                0.52653,                0.86255,                0.85801,                0.80142,                0.88317,                0.70285,                0.69784,                0.45932,                0.83158,             0.00043126,             0.00043126,             0.00043126
                     13,                0.80631,                0.53105,                0.86579,                0.87912,                0.80728,                0.89463,                0.71236,                0.69157,                0.44373,                0.83024,             0.00040298,             0.00040298,             0.00040298
                     14,                 0.7941,                0.52104,                0.86121,                 0.8662,                0.80934,                 0.8809,                0.70717,                0.68687,                0.46873,                0.83266,             0.00037471,             0.00037471,             0.00037471
                     15,                0.78795,                0.51348,                0.86025,                  0.872,                 0.8154,                0.89572,                0.71978,                0.68227,                0.43814,                0.82882,             0.00034643,             0.00034643,             0.00034643
                     16,                0.77112,                0.49693,                0.85685,                0.87068,                0.80692,                0.89031,                0.71474,                 0.6797,                0.43535,                0.82824,             0.00031816,             0.00031816,             0.00031816
                     17,                 0.7626,                0.48873,                0.85514,                0.87395,                0.81676,                0.89889,                0.72375,                0.67804,                0.43471,                0.82883,             0.00028988,             0.00028988,             0.00028988
                     18,                0.75931,                0.48442,                0.85512,                0.87961,                0.81813,                0.90117,                0.72758,                0.67559,                0.43477,                 0.8292,             0.00026161,             0.00026161,             0.00026161
                     19,                0.75155,                0.47822,                0.85266,                0.88837,                0.81674,                 0.9053,                 0.7318,                0.66843,                0.41804,                0.82648,             0.00023334,             0.00023334,             0.00023334
                     20,                0.74501,                0.47179,                0.85043,                0.88878,                0.82174,                0.90446,                0.73105,                0.66753,                0.41702,                0.82499,             0.00020506,             0.00020506,             0.00020506
                     21,                0.74181,                0.46788,                0.85034,                0.88705,                0.82463,                0.90763,                0.73606,                0.66591,                0.41162,                0.82556,             0.00017679,             0.00017679,             0.00017679
                     22,                0.74048,                0.46697,                0.85082,                0.88804,                0.82529,                0.90793,                0.73707,                0.66078,                0.40854,                0.82426,             0.00014851,             0.00014851,             0.00014851
                     23,                0.73579,                0.46103,                0.85022,                0.88597,                0.82382,                0.90772,                0.73854,                0.65902,                0.40876,                0.82451,             0.00012024,             0.00012024,             0.00012024
                     24,                0.72792,                0.45318,                 0.8465,                0.88837,                0.83214,                0.91111,                0.74048,                0.65652,                0.40358,                0.82295,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.72892,                0.45522,                 0.8482,                0.88729,                 0.8352,                0.91159,                0.74167,                0.65455,                0.40134,                0.82305,             6.3689e-05,             6.3689e-05,             6.3689e-05
